time,location
1364425651,in[north-main],
1364425662,in[north-main],
1364425672,in[north-main],
1364425682,in[north-main],
1364425692,in[north-main],
1364425702,in[north-main],
1364425712,in[north-main],
1364425723,in[north-main],
1364425733,in[north-main],
1364425743,in[north-main],
1364425753,in[north-main],
1364425763,in[north-main],
1364425774,in[north-main],
1364425784,in[north-main],
1364425794,in[north-main],
1364425804,in[north-main],
1364425814,in[north-main],
1364425824,in[north-main],
1364425835,in[north-main],
1364425845,in[north-main],
1364425855,in[north-main],
1364425865,in[north-main],
1364425875,in[north-main],
1364425885,in[north-main],
1364425896,in[north-main],
1364425906,in[north-main],
1364425916,in[north-main],
1364425926,in[north-main],
1364425936,in[north-main],
1364425946,in[north-main],
1364425957,in[north-main],
1364425967,in[north-main],
1364425977,in[north-main],
1364425987,in[north-main],
1364425997,in[north-main],
1364426007,in[north-main],
1364426018,in[north-main],
1364426028,in[north-main],
1364426038,in[north-main],
1364426048,in[north-main],
1364426058,in[north-main],
1364426069,in[north-main],
1364426079,in[north-main],
1364426089,in[north-main],
1364426099,in[north-main],
1364426109,in[north-main],
1364426119,in[north-main],
1364426130,in[north-main],
1364426140,in[north-main],
1364426150,in[north-main],
1364426160,in[north-main],
1364426201,in[north-main],
1364426211,in[north-main],
1364426221,in[north-main],
1364426231,in[north-main],
1364426241,in[north-main],
1364426252,in[north-main],
1364426262,in[north-main],
1364426272,in[north-main],
1364426282,in[north-main],
1364426292,in[north-main],
1364426302,in[north-main],
1364426313,in[north-main],
1364426323,in[north-main],
1364426333,in[north-main],
1364426343,in[north-main],
1364426353,in[north-main],
1364426363,in[north-main],
1364426374,in[north-main],
1364426384,in[north-main],
1364426394,in[north-main],
1364426404,in[north-main],
1364426414,in[north-main],
1364426424,in[north-main],
1364426435,in[north-main],
1364426445,in[north-main],
1364426455,in[north-main],
1364426465,in[north-main],
1364426475,in[north-main],
1364426485,in[north-main],
1364426495,in[north-main],
1364426506,in[north-main],
1364426516,in[north-main],
1364426526,in[north-main],
1364426536,in[north-main],
1364426546,in[north-main],
1364426557,in[north-main],
1364426567,in[north-main],
1364426577,in[north-main],
1364426587,in[north-main],
1364426597,in[north-main],
1364426607,in[north-main],
1364426618,in[north-main],
1364426628,in[north-main],
1364426638,in[north-main],
1364426648,in[north-main],
1364426658,in[north-main],
1364426669,in[north-main],
1364426679,in[north-main],
1364426689,in[north-main],
1364426699,in[north-main],
1364426709,in[north-main],
1364426719,in[north-main],
1364426729,in[north-main],
1364426740,in[north-main],
1364426750,in[north-main],
1364426760,in[north-main],
1364426770,in[north-main],
1364426780,in[north-main],
1364426790,in[north-main],
1364426852,in[north-main],
1364426862,in[north-main],
1364426872,in[north-main],
1364426882,in[north-main],
1364426892,in[north-main],
1364426902,in[north-main],
1364426912,in[north-main],
1364426923,in[north-main],
1364426933,in[north-main],
1364426943,in[north-main],
1364426953,in[north-main],
1364426963,in[north-main],
1364426974,in[north-main],
1364426984,in[north-main],
